база,основа,основы,False,База и основа это синонимы.
ветер,катаклизм,катаклизма,False,Катаклизм — это что-то страшное. Природные катаклизмы страшные.
генерал,человек,человека,True,Люди бывают генералами.
грудь,часть_тела,части_тел,True,"Грудь — это часть тела, но не разновидность тела."
губа,врожденных_дефектов,врождённых_дефектов,False,Губа это часть тела человека.
доктор,специальность,специальности,True,Люди бывают докторами.
доктор,человек,человек,True,Люди бывают докторами.
дочь,дети_(сыновья_и_дочери),детей_(сынов_и_дочерей),True,"Как правило, дети — это сыновья и дочери."
дочь,невестка,невестки,True,"Как правило, невестка — это чья-то дочь."
желание,бессознательное,бессознательное,True,В бессознательное вытесняются тайные желания.
защита,помощь,помощи,True,Защита — это разновидность помощи.
знание,информация,информации,True,"Философы спорят об этом до сих пор. Считаем, что знание — это проверенная информация."
зрение,ощущение,ощущения,True,Зрение — это одно из данных нам ощущений.
нос,анатомическим_признакам,анатомического_признаков,False,Нос не может быть признаком. Признаком может быть его размер и цвет.
огонь,аллотроп,аллотропа,False,Аллотропы — это виды химических элементов. Огонь — не химический элемент.
оружие,предмет,предмета,True,Оружие — это предмет.
папа,родительский,родительского,True,Родители бывают папами.
папа,родительский,родительского,True,Родители бывают отцами.
папа,человека,человека,True,Люди бывают папами.
папа,человека,человека,True,Люди бывают отцами.
мама,родительский,родительского,True,Родители бывают мамами.
мама,родительский,родительского,True,Родители бывают матерями.
мама,человека,человека,True,Люди бывают мамами.
мама,человека,человека,True,Люди бывают матерями.
парень,мужской,мужского,True,"Как правило, парни — это мужчины."
понятие,мышление,мышления,False,Люди мыслят понятиями.
председатель,лицо,лица,True,Председатель — это физическое лицо.
солдат,специалист,специалиста,True,Люди бывают солдатами.
текст,предмет,предмета,False,Текст — это не предмет.
удар,воздействие,воздействия,True,Удар — физическое воздействие.
услуга,помощь,помощи,False,Помощь — это услуга.
услуга,предпринимательской_деятельности,предпринимательской_деятельностей,True,Предприятия оказывают услуги.
участок,имущество,имущества,True,Участок — недвижимость.
